term_set,label,pattern,attr,replace,extra1,extra2
insect_anatomy,part,synthorax,lower,,,
insect_anatomy,part,terminalia,lower,,,
insect_anatomy,part,terga,lower,tergite,,
insect_anatomy,part,tergite,lower,tergite,,
insect_anatomy,part,tergites,lower,tergite,,
insect_anatomy,part,thorax,lower,,,
insect_anatomy,part,tibia,lower,,,
insect_anatomy,part,vein,lower,vein,,
insect_anatomy,part,veins,lower,vein,,
insect_anatomy,part,vulva,lower,,,
insect_anatomy,part,wing,lower,wing,,
insect_anatomy,part,wings,lower,wing,,
insect_anatomy,part,wingtip,lower,wingtip,,
insect_anatomy,part,wingtips,lower,wingtip,,
insect_anatomy,part_loc,abdominal,lower,,,
insect_anatomy,part_loc,aboral,lower,,,
insect_anatomy,part_loc,accessory,lower,,,
insect_anatomy,part_loc,anal,lower,,,
insect_anatomy,part_loc,antehumeral,lower,,,
insect_anatomy,part_loc,antennal,lower,antenna,,
insect_anatomy,part_loc,anterior,lower,,,
insect_anatomy,part_loc,antero-lateral,lower,anterolateral,,
insect_anatomy,part_loc,anterolateral,lower,,,
insect_anatomy,part_loc,anteversion,lower,,,
insect_anatomy,part_loc,apex,lower,,,
insect_anatomy,part_loc,apical,lower,,,
insect_anatomy,part_loc,axial,lower,,,
insect_anatomy,part_loc,back,lower,,,
insect_anatomy,part_loc,basal,lower,,,
insect_anatomy,part_loc,base,lower,,,
insect_anatomy,part_loc,bilateral,lower,,,
insect_anatomy,part_loc,caudal,lower,,,
insect_anatomy,part_loc,central,lower,,,
insect_anatomy,part_loc,cephalo,lower,,,
insect_anatomy,part_loc,contra-lateral,lower,contralateral,,
insect_anatomy,part_loc,contralateral,lower,,,
insect_anatomy,part_loc,coronal,lower,,,
insect_anatomy,part_loc,costa,lower,,,
insect_anatomy,part_loc,costal,lower,,,
insect_anatomy,part_loc,cubital,lower,,,
insect_anatomy,part_loc,cubitus,lower,,,
insect_anatomy,part_loc,distal,lower,,,
insect_anatomy,part_loc,dorsal,lower,,,
insect_anatomy,part_loc,dorso-lateral,lower,dorsolateral,,
insect_anatomy,part_loc,dorsolateral,lower,,,
insect_anatomy,part_loc,femural,lower,,,
insect_anatomy,part_loc,front,lower,,,
insect_anatomy,part_loc,frontal,lower,,,
insect_anatomy,part_loc,genital,lower,,,
insect_anatomy,part_loc,genito-ventral,lower,genitoventral,,
insect_anatomy,part_loc,genitoventral,lower,,,
insect_anatomy,part_loc,gular,lower,,,
insect_anatomy,part_loc,horizontal,lower,,,
insect_anatomy,part_loc,humeral,lower,,,
insect_anatomy,part_loc,intercostal,lower,,,
insect_anatomy,part_loc,ipsilateral,lower,,,
insect_anatomy,part_loc,labial,lower,,,
insect_anatomy,part_loc,lateral,lower,,,
insect_anatomy,part_loc,latero-ventral,lower,lateroventral,,
insect_anatomy,part_loc,lateroventral,lower,,,
insect_anatomy,part_loc,lower,lower,,,
insect_anatomy,part_loc,luminal,lower,,,
insect_anatomy,part_loc,marginal,lower,,,
insect_anatomy,part_loc,media,lower,,,
insect_anatomy,part_loc,media,lower,,,
insect_anatomy,part_loc,medial,lower,,,
insect_anatomy,part_loc,mediolateral,lower,,,
insect_anatomy,part_loc,mesostigmal,lower,,,
insect_anatomy,part_loc,mesothoracic,lower,,,
insect_anatomy,part_loc,metapodal,lower,,,
insect_anatomy,part_loc,middorsal,lower,,,
insect_anatomy,part_loc,oral,lower,,,
insect_anatomy,part_loc,parasagittal,lower,,,
insect_anatomy,part_loc,paratergal,lower,,,
insect_anatomy,part_loc,parietal,lower,,,
insect_anatomy,part_loc,postantennal,lower,,,
insect_anatomy,part_loc,posterior,lower,,,
insect_anatomy,part_loc,postero-medial,lower,posteromedial,,
insect_anatomy,part_loc,posteromedial,lower,,,
insect_anatomy,part_loc,postocular ,lower,,,
insect_anatomy,part_loc,postspiracular,lower,,,
insect_anatomy,part_loc,preantennal,lower,,,
insect_anatomy,part_loc,preocular,lower,,,
insect_anatomy,part_loc,principal,lower,,,
insect_anatomy,part_loc,prolateral,lower,,,
insect_anatomy,part_loc,proximal,lower,,,
insect_anatomy,part_loc,rear,lower,,,
insect_anatomy,part_loc,retrolateral,lower,,,
insect_anatomy,part_loc,retroversion,lower,,,
insect_anatomy,part_loc,sagittal,lower,,,
insect_anatomy,part_loc,sectoral,lower,,,
insect_anatomy,part_loc,side,lower,side,,
insect_anatomy,part_loc,sides,lower,side,,
insect_anatomy,part_loc,spiracular,lower,,,
insect_anatomy,part_loc,sternal,lower,,,
insect_anatomy,part_loc,subapical,lower,,,
insect_anatomy,part_loc,subcosta,lower,,,
insect_anatomy,part_loc,subgenital,lower,,,
insect_anatomy,part_loc,superficial,lower,,,
insect_anatomy,part_loc,supra-antennal,lower,supraantennal,,
insect_anatomy,part_loc,supraantennal,lower,,,
insect_anatomy,part_loc,sutural,lower,,,
insect_anatomy,part_loc,tailed,lower,,,
insect_anatomy,part_loc,tergal,lower,,,
insect_anatomy,part_loc,terminal,lower,,,
insect_anatomy,part_loc,thoracic,lower,,,
insect_anatomy,part_loc,transverse,lower,,,
insect_anatomy,part_loc,underside,lower,,,
insect_anatomy,part_loc,unilateral,lower,,,
insect_anatomy,part_loc,upper,lower,,,
insect_anatomy,part_loc,valgus,lower,,,
insect_anatomy,part_loc,varus,lower,,,
insect_anatomy,part_loc,ventral,lower,,,
insect_anatomy,part_loc,ventro-lateral,lower,ventrolateral,,
insect_anatomy,part_loc,ventrolateral,lower,,,
insect_anatomy,part_loc,visceral,lower,,,
insect_anatomy,part_loc,vulval,lower,,,
insect_anatomy,part_loc,vulvar,lower,,,
