term_set,label,pattern,attr,replace,inside,postal
us_locations,us_county,bullock,lower,,AL,
us_locations,us_county,buncombe,lower,,NC,
us_locations,us_county,bureau,lower,,IL,
us_locations,us_county,burke,lower,,GA NC ND,
us_locations,us_county,burleigh,lower,,ND,
us_locations,us_county,burleson,lower,,TX,
us_locations,us_county,burlington,lower,,NJ,
us_locations,us_county,burnet,lower,,TX,
us_locations,us_county,burnett,lower,,WI,
us_locations,us_county,burt,lower,,NE,
us_locations,us_county,butler,lower,,AL IA KS KY MO NE OH PA,
us_locations,us_county,butte,lower,,CA ID SD,
us_locations,us_county,butts,lower,,GA,
us_locations,us_county,cabarrus,lower,,NC,
us_locations,us_county,cabell,lower,,WV,
us_locations,us_county,cache,lower,,UT,
us_locations,us_county,caddo,lower,,LA OK,
us_locations,us_county,calaveras,lower,,CA,
us_locations,us_county,calcasieu,lower,,LA,
us_locations,us_county,caldwell,lower,,KY LA MO NC TX,
us_locations,us_county,caledonia,lower,,VT,
us_locations,us_county,calhoun,lower,,AL AR FL GA IL IA MI MS SC TX WV,
us_locations,us_county,callahan,lower,,TX,
us_locations,us_county,callaway,lower,,MO,
us_locations,us_county,calloway,lower,,KY,
us_locations,us_county,calumet,lower,,WI,
us_locations,us_county,calvert,lower,,MD,
us_locations,us_county,camas,lower,,ID,
us_locations,us_county,cambria,lower,,PA,
us_locations,us_county,camden,lower,,GA MO NJ NC,
us_locations,us_county,cameron,lower,,LA PA TX,
us_locations,us_county,camp,lower,,TX,
us_locations,us_county,campbell,lower,,KY SD TN VA WY,
us_locations,us_county,canadian,lower,,OK,
us_locations,us_county,candler,lower,,GA,
us_locations,us_county,cannon,lower,,TN,
us_locations,us_county,canyon,lower,,ID,
us_locations,us_county,cape girardeau,lower,,MO,
us_locations,us_county,cape may,lower,,NJ,
us_locations,us_county,carbon,lower,,MT PA UT WY,
us_locations,us_county,caribou,lower,,ID,
us_locations,us_county,carlisle,lower,,KY,
us_locations,us_county,carlton,lower,,MN,
us_locations,us_county,caroline,lower,,MD VA,
us_locations,us_county,carroll,lower,,AR GA IL IN IA KY MD MS MO NH OH TN VA,
us_locations,us_county,carson,lower,,TX,
us_locations,us_county,carson city city,lower,,NV,
us_locations,us_county,carter,lower,,KY MO MT OK TN,
us_locations,us_county,carteret,lower,,NC,
us_locations,us_county,carver,lower,,MN,
us_locations,us_county,cascade,lower,,MT,
us_locations,us_county,casey,lower,,KY,
us_locations,us_county,cass,lower,,IL IN IA MI MN MO NE ND TX,
us_locations,us_county,cassia,lower,,ID,
us_locations,us_county,castro,lower,,TX,
us_locations,us_county,caswell,lower,,NC,
us_locations,us_county,catahoula,lower,,LA,
us_locations,us_county,catawba,lower,,NC,
us_locations,us_county,catoosa,lower,,GA,
us_locations,us_county,catron,lower,,NM,
us_locations,us_county,cattaraugus,lower,,NY,
us_locations,us_county,cavalier,lower,,ND,
us_locations,us_county,cayuga,lower,,NY,
us_locations,us_county,cecil,lower,,MD,
us_locations,us_county,cedar,lower,,IA MO NE,
us_locations,us_county,centre,lower,,PA,
us_locations,us_county,cerro gordo,lower,,IA,
us_locations,us_county,chaffee,lower,,CO,
us_locations,us_county,chambers,lower,,AL TX,
us_locations,us_county,champaign,lower,,IL OH,
us_locations,us_county,chariton,lower,,MO,
us_locations,us_county,charles,lower,,MD,
us_locations,us_county,charles city,lower,,VA,
us_locations,us_county,charles mix,lower,,SD,
us_locations,us_county,charleston,lower,,SC,
us_locations,us_county,charlevoix,lower,,MI,
us_locations,us_county,charlotte,lower,,FL VA,
us_locations,us_county,charlottesville,lower,,VA,
us_locations,us_county,charlton,lower,,GA,
us_locations,us_county,chase,lower,,KS NE,
