label,pattern,attr,replace,inside,postal
us_county,dixon,lower,,NE,
us_county,doddridge,lower,,WV,
us_county,dodge,lower,,GA MN NE WI,
us_county,dolores,lower,,CO,
us_county,dona ana,lower,,NM,
us_county,doniphan,lower,,KS,
us_county,donley,lower,,TX,
us_county,dooly,lower,,GA,
us_county,door,lower,,WI,
us_county,dorchester,lower,,MD SC,
us_county,dougherty,lower,,GA,
us_county,douglas,lower,,CO GA IL KS MN MO NE NV OR SD WA WI,
us_county,drew,lower,,AR,
us_county,dubois,lower,,IN,
us_county,dubuque,lower,,IA,
us_county,duchesne,lower,,UT,
us_county,dukes,lower,,MA,
us_county,dundy,lower,,NE,
us_county,dunklin,lower,,MO,
us_county,dunn,lower,,ND WI,
us_county,dupage,lower,,IL,
us_county,duplin,lower,,NC,
us_county,durham,lower,,NC,
us_county,dutchess,lower,,NY,
us_county,duval,lower,,FL TX,
us_county,dyer,lower,,TN,
us_county,eagle,lower,,CO,
us_county,early,lower,,GA,
us_county,east baton rouge,lower,,LA,
us_county,east carroll,lower,,LA,
us_county,east feliciana,lower,,LA,
us_county,eastland,lower,,TX,
us_county,eaton,lower,,MI,
us_county,eau claire,lower,,WI,
us_county,echols,lower,,GA,
us_county,ector,lower,,TX,
us_county,eddy,lower,,NM ND,
us_county,edgar,lower,,IL,
us_county,edgecombe,lower,,NC,
us_county,edgefield,lower,,SC,
us_county,edmonson,lower,,KY,
us_county,edmunds,lower,,SD,
us_county,edwards,lower,,IL KS TX,
us_county,effingham,lower,,GA IL,
us_county,el dorado,lower,,CA,
us_county,el paso,lower,,CO TX,
us_county,elbert,lower,,CO GA,
us_county,elk,lower,,KS PA,
us_county,elkhart,lower,,IN,
us_county,elko,lower,,NV,
us_county,elliott,lower,,KY,
us_county,ellis,lower,,KS OK TX,
us_county,ellsworth,lower,,KS,
us_county,elmore,lower,,AL ID,
us_county,emanuel,lower,,GA,
us_county,emery,lower,,UT,
us_county,emmet,lower,,IA MI,
us_county,emmons,lower,,ND,
us_county,emporia,lower,,VA,
us_county,erath,lower,,TX,
us_county,erie,lower,,NY OH PA,
us_county,escambia,lower,,AL FL,
us_county,esmeralda,lower,,NV,
us_county,essex,lower,,MA NJ NY VT VA,
us_county,estill,lower,,KY,
us_county,etowah,lower,,AL,
us_county,eureka,lower,,NV,
us_county,evangeline,lower,,LA,
us_county,evans,lower,,GA,
us_county,fairbanks north star,lower,,AK,
us_county,fairfax,lower,,VA VA,
us_county,fairfield,lower,,CT OH SC,
us_county,fall river,lower,,SD,
us_county,fallon,lower,,MT,
us_county,falls,lower,,TX,
us_county,falls church,lower,,VA,
us_county,fannin,lower,,GA TX,
us_county,faribault,lower,,MN,
us_county,faulk,lower,,SD,
us_county,faulkner,lower,,AR,
us_county,fauquier,lower,,VA,
us_county,fayette,lower,,AL GA IL IN IA KY OH PA TN TX WV,
us_county,fentress,lower,,TN,
us_county,fergus,lower,,MT,
us_county,ferry,lower,,WA,
us_county,fillmore,lower,,MN NE,
us_county,finney,lower,,KS,
us_county,fisher,lower,,TX,
us_county,flagler,lower,,FL,
us_county,flathead,lower,,MT,
us_county,fleming,lower,,KY,
us_county,florence,lower,,SC WI,
us_county,floyd,lower,,GA IN IA KY TX VA,
us_county,fluvanna,lower,,VA,
us_county,foard,lower,,TX,
us_county,fond du lac,lower,,WI,
us_county,ford,lower,,IL KS,
us_county,forest,lower,,PA WI,
us_county,forrest,lower,,MS,
us_county,forsyth,lower,,GA NC,
us_county,fort bend,lower,,TX,
us_county,foster,lower,,ND,
us_county,fountain,lower,,IN,
us_county,franklin,lower,,AL AR FL GA ID IL IN IA KS KY LA ME MA MS MO NE NY NC OH PA TN TX VT VA VA WA,
us_county,frederick,lower,,MD VA,
us_county,fredericksburg,lower,,VA,
us_county,freeborn,lower,,MN,
us_county,freestone,lower,,TX,
us_county,fremont,lower,,CO ID IA WY,
us_county,fresno,lower,,CA,
us_county,frio,lower,,TX,
us_county,frontier,lower,,NE,
us_county,fulton,lower,,AR GA IL IN KY NY OH PA,
us_county,furnas,lower,,NE,
us_county,gadsden,lower,,FL,
us_county,gage,lower,,NE,
us_county,gaines,lower,,TX,
us_county,galax,lower,,VA,
us_county,gallatin,lower,,IL KY MT,
us_county,gallia,lower,,OH,
us_county,galveston,lower,,TX,
us_county,garden,lower,,NE,
us_county,garfield,lower,,CO MT NE OK UT WA,
us_county,garland,lower,,AR,
us_county,garrard,lower,,KY,
us_county,garrett,lower,,MD,
us_county,garvin,lower,,OK,
us_county,garza,lower,,TX,
us_county,gasconade,lower,,MO,
us_county,gaston,lower,,NC,
us_county,gates,lower,,NC,
us_county,geary,lower,,KS,
us_county,geauga,lower,,OH,
us_county,gem,lower,,ID,
us_county,genesee,lower,,MI NY,
us_county,geneva,lower,,AL,
us_county,gentry,lower,,MO,
us_county,george,lower,,MS,
us_county,georgetown,lower,,SC,
us_county,gibson,lower,,IN TN,
us_county,gila,lower,,AZ,
us_county,gilchrist,lower,,FL,
us_county,giles,lower,,TN VA,
us_county,gillespie,lower,,TX,
us_county,gilliam,lower,,OR,
us_county,gilmer,lower,,GA WV,
us_county,gilpin,lower,,CO,
us_county,glacier,lower,,MT,
us_county,glades,lower,,FL,
us_county,gladwin,lower,,MI,
us_county,glascock,lower,,GA,
us_county,glasscock,lower,,TX,
us_county,glenn,lower,,CA,
us_county,gloucester,lower,,NJ VA,
us_county,glynn,lower,,GA,
us_county,gogebic,lower,,MI,
us_county,golden valley,lower,,MT ND,
us_county,goliad,lower,,TX,
us_county,gonzales,lower,,TX,
us_county,goochland,lower,,VA,
us_county,goodhue,lower,,MN,
us_county,gooding,lower,,ID,
us_county,gordon,lower,,GA,
us_county,goshen,lower,,WY,
us_county,gosper,lower,,NE,
us_county,gove,lower,,KS,
us_county,grady,lower,,GA OK,
us_county,grafton,lower,,NH,
us_county,graham,lower,,AZ KS NC,
us_county,grainger,lower,,TN,
us_county,grand,lower,,CO UT,
us_county,grand forks,lower,,ND,
us_county,grand isle,lower,,VT,
us_county,grand traverse,lower,,MI,
us_county,granite,lower,,MT,
us_county,grant,lower,,AR IN KS KY LA MN NE NM ND OK OR SD WA WV WI,
us_county,granville,lower,,NC,
us_county,gratiot,lower,,MI,
us_county,graves,lower,,KY,
us_county,gray,lower,,KS TX,
us_county,grays harbor,lower,,WA,
us_county,grayson,lower,,KY TX VA,
us_county,greeley,lower,,KS NE,
us_county,green,lower,,KY WI,
us_county,green lake,lower,,WI,
us_county,greenbrier,lower,,WV,
us_county,greene,lower,,AL AR GA IL IN IA MS MO NY NC OH PA TN VA,
us_county,greenlee,lower,,AZ,
us_county,greensville,lower,,VA,
us_county,greenup,lower,,KY,
us_county,greenville,lower,,SC,
us_county,greenwood,lower,,KS SC,
us_county,greer,lower,,OK,
us_county,gregg,lower,,TX,
us_county,gregory,lower,,SD,
us_county,grenada,lower,,MS,
us_county,griggs,lower,,ND,
us_county,grimes,lower,,TX,
us_county,grundy,lower,,IL IA MO TN,
us_county,guadalupe,lower,,NM TX,
us_county,guernsey,lower,,OH,
us_county,guilford,lower,,NC,
us_county,gulf,lower,,FL,
us_county,gunnison,lower,,CO,
us_county,guthrie,lower,,IA,
us_county,gwinnett,lower,,GA,
us_county,haakon,lower,,SD,
us_county,habersham,lower,,GA,
us_county,haines,lower,,AK,
us_county,hale,lower,,AL TX,
us_county,halifax,lower,,NC VA,
us_county,hall,lower,,GA NE TX,
us_county,hamblen,lower,,TN,
us_county,hamilton,lower,,FL IL IN IA KS NE NY OH TN TX,
us_county,hamlin,lower,,SD,
us_county,hampden,lower,,MA,
us_county,hampshire,lower,,MA WV,
us_county,hampton,lower,,SC VA,
us_county,hancock,lower,,GA IL IN IA KY ME MS OH TN WV,
us_county,hand,lower,,SD,
us_county,hanover,lower,,VA,
us_county,hansford,lower,,TX,
us_county,hanson,lower,,SD,
us_county,haralson,lower,,GA,
us_county,hardee,lower,,FL,
us_county,hardeman,lower,,TN TX,
