icode,gbifdatasetid,harvestfoldernew
UF,eccf4b09-f0c8-462d-a48c-41a7ce36815a,vertnet-harvesting/data/2016-07-20/UF-ichthyology
UF,832a5f06-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-20/UF-mammals
UF,temp-flmnh-birds-datasetid,vertnet-harvesting/data/2016-07-20/UF-flmnh_birds
UF,2fba9985-ac30-46cb-99bf-91ccde0d8d2f,vertnet-harvesting/data/2016-07-20/UF-ufvp
UMMZ,be5507b9-7abf-4b69-afe1-5ca2b7561734,vertnet-harvesting/data/2016-07-20/UMMZ-ummz_birds
UMMZ,8e479b8f-ac16-4bed-a11a-bc7e27c31663,vertnet-harvesting/data/2016-07-17/UMMZ-ummz_herps
UMMZ,6d2cfc0a-9903-40b8-802b-403398218e4a,vertnet-harvesting/data/2016-07-17/UMMZ-ummz_mammals
UMZC,717b3b87-0ebd-46b4-812b-4a29786798d9,vertnet-harvesting/data/2016-07-17/UMZC-umzc_vertebrates
UNR,c62f7574-d65a-4018-87a2-b96d6df5231b,vertnet-harvesting/data/2016-07-17/UNR-unr_herps
UNR,ce4fe924-1ddf-4546-856f-b3319aded91b,vertnet-harvesting/data/2016-07-17/UNR-unr_mammals
USAC,fee15ebc-27ce-4aff-b912-2657bbd493d2,vertnet-harvesting/data/2016-07-17/USAC-usac_mammals
USNM,5df38344-b821-49c2-8174-cf0f29f4df0d-Birds,vertnet-harvesting/data/2016-07-21/USNM-nmnh_birds
USNM,5df38344-b821-49c2-8174-cf0f29f4df0d-Fish,vertnet-harvesting/data/2016-07-21/USNM-nmnh_fishes
USNM,5df38344-b821-49c2-8174-cf0f29f4df0d-Herps,vertnet-harvesting/data/2016-07-21/USNM-nmnh_herps
USNM,5df38344-b821-49c2-8174-cf0f29f4df0d-Mammals,vertnet-harvesting/data/2016-07-22/USNM-nmnh_mammals
USNM,5df38344-b821-49c2-8174-cf0f29f4df0d-Paleo,vertnet-harvesting/data/2016-07-21/USNM-nmnh_vert_paleo
UTA,8d88898d-a2c4-4616-a1fe-431b9c06b671,vertnet-harvesting/data/2016-07-17/UTA-uta_herps
UTEP,bd2feca8-ec39-4480-9dad-e353ab6a506d,vertnet-harvesting/data/2016-07-17/UTEP-utep_verts
UWBM,830fd460-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-17/UWBM-uwbm_birds
UWBM,78122332-6315-41bd-914b-e9c1342d9093,vertnet-harvesting/data/2016-07-15/UWBM-uwbm_herp
UWBM,830eb5d0-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-17/UWBM-uwbm_mammals
UWFC,831234b2-f762-11e1-a439-00145eb45e9a,vertnet-harvesting/data/2016-07-17/UWFC-uwfc_fish
UWYMV,abcaccad-9e01-4b2a-b493-32531cbed32a,vertnet-harvesting/data/2016-07-15/UWYMV-uwymv_bird
